#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_atibo;Atibo;Atibo;Atibo;;Atibo;;;;;;;;;x
b_atibo_adj;Atibian;;atiber;;;;;;;;;;;x
b_eaki;Eaki;Eaki;Eaki;;Eaki;;;;;;;;;x
b_eaki_adj;Eakian;;eaker;;;;;;;;;;;x
b_earu;Earu;Earu;Earu;;Earu;;;;;;;;;x
b_earu_adj;Earian;;earer;;;;;;;;;;;x
b_hitumo;Hitumo;Hitumo;Hitumo;;Hitumo;;;;;;;;;x
b_hitumo_adj;Hitumian;;hitumer;;;;;;;;;;;x
b_kakato;Kakato;Kakato;Kakato;;Kakato;;;;;;;;;x
b_kakato_adj;Kakatian;;kakater;;;;;;;;;;;x
b_kamara;Kamara;Kamara;Kamara;;Kamara;;;;;;;;;x
b_kamara_adj;Kamaran;;kamarer;;;;;;;;;;;x
b_kato;Kato;Kato;Kato;;Kato;;;;;;;;;x
b_kato_adj;Katian;;kater;;;;;;;;;;;x
b_katsa;Katsa;Katsa;Katsa;;Katsa;;;;;;;;;x
b_katsa_adj;Katsan;;katser;;;;;;;;;;;x
b_kinia;Kinia;Kinia;Kinia;;Kinia;;;;;;;;;x
b_kinia_adj;Kinian;;kiner;;;;;;;;;;;x
b_kitia;Kitia;Kitia;Kitia;;Kitia;;;;;;;;;x
b_kitia_adj;Kitian;;kiter;;;;;;;;;;;x
b_kitu;Kitu;Kitu;Kitu;;Kitu;;;;;;;;;x
b_kitu_adj;Kitian;;kiter;;;;;;;;;;;x
b_kotaka;Kotaka;Kotaka;Kotaka;;Kotaka;;;;;;;;;x
b_kotaka_adj;Kotakan;;kotaker;;;;;;;;;;;x
b_mara;Mara;Mara;Mara;;Mara;;;;;;;;;x
b_mara_adj;Maran;;marer;;;;;;;;;;;x
b_matia;Matia;Matia;Matia;;Matia;;;;;;;;;x
b_matia_adj;Matian;;mater;;;;;;;;;;;x
b_meari;Meari;Meari;Meari;;Meari;;;;;;;;;x
b_meari_adj;Mearian;;mearer;;;;;;;;;;;x
b_miru;Miru;Miru;Miru;;Miru;;;;;;;;;x
b_miru_adj;Mirian;;mirer;;;;;;;;;;;x
b_mitaru;Mitaru;Mitaru;Mitaru;;Mitaru;;;;;;;;;x
b_mitaru_adj;Mitarian;;mitarer;;;;;;;;;;;x
b_moru;Moru;Moru;Moru;;Moru;;;;;;;;;x
b_moru_adj;Morian;;morer;;;;;;;;;;;x
b_nabia;Nabia;Nabia;Nabia;;Nabia;;;;;;;;;x
b_nabia_adj;Nabian;;naber;;;;;;;;;;;x
b_samimu;Samimu;Samimu;Samimu;;Samimu;;;;;;;;;x
b_samimu_adj;Samimian;;samimer;;;;;;;;;;;x
b_shiru;Shiru;Shiru;Shiru;;Shiru;;;;;;;;;x
b_shiru_adj;Shirian;;shirer;;;;;;;;;;;x
b_shitara;Shitara;Shitara;Shitara;;Shitara;;;;;;;;;x
b_shitara_adj;Shitaran;;shitarer;;;;;;;;;;;x
b_shitara_2;Shitara;Shitara;Shitara;;Shitara;;;;;;;;;x
b_shitara_2_adj;Shitaran;;shitarer;;;;;;;;;;;x
b_shitara_3;Shitara;Shitara;Shitara;;Shitara;;;;;;;;;x
b_shitara_3_adj;Shitaran;;shitarer;;;;;;;;;;;x
b_shitara_4;Shitara;Shitara;Shitara;;Shitara;;;;;;;;;x
b_shitara_4_adj;Shitaran;;shitarer;;;;;;;;;;;x
b_shuti;Shuti;Shuti;Shuti;;Shuti;;;;;;;;;x
b_shuti_adj;Shutian;;shuter;;;;;;;;;;;x
b_sitaru;Sitaru;Sitaru;Sitaru;;Sitaru;;;;;;;;;x
b_sitaru_adj;Sitarian;;sitarer;;;;;;;;;;;x
b_sito;Sito;Sito;Sito;;Sito;;;;;;;;;x
b_sito_adj;Sitian;;siter;;;;;;;;;;;x
b_sonato;Sonato;Sonato;Sonato;;Sonato;;;;;;;;;x
b_sonato_adj;Sonatian;;sonater;;;;;;;;;;;x
b_suta;Suta;Suta;Suta;;Suta;;;;;;;;;x
b_suta_adj;Sutan;;suter;;;;;;;;;;;x
