#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_hyrulean;Emperor;;;;;;;;;;;;x
emperor_female_hyrulean;Queen;;;;;;;;;;;;;x
king_hyrulean;King;;;;;;;;;;;;;;;x
king_female_hyrulean;Princess;;;;;;;;;;;;;x
emperor_death_mountain_goron;King;;;;;;;;;;;;x
emperor_female_death_mountain_goron;Queen;;;;;;;;;;;;;x
emperor_title_ruler_consort_death_mountain_goron;King Consort;;;;;;;;;;;;;x
emperor_title_ruler_consort_female_death_mountain_goron;Queen Consort;;;;;;;;;;;;;x
king_title_ruler_consort_death_mountain_goron;Consort;;;;;;;;;;;;;x
king_title_ruler_consort_female_death_mountain_goron;Consort;;;;;;;;;;;;;x
king_death_mountain_goron:High Chief;;;;;;;;;;;;;;;x
king_female_death_mountain_goron;High Chief;;;;;;;;;;;;;x
duke_death_mountain_goron;Chief;;;;;;;;;;;;;x
duke_female_death_mountain_goron;Chief;;;;;;;;;;;;;x
duke_title_ruler_consort_death_mountain_goron;Consort;;;;;;;;;;;;;x
duke_title_ruler_consort_female_death_mountain_goron;Consort;;;;;;;;;;;;;x
count_death_mountain_goron;Big Brother;;;;;;;;;;;;;x
count_female_death_mountain_goron;Big Sister;;;;;;;;;;;;;x
count_title_ruler_consort_death_mountain_goron;Big Brother;;;;;;;;;;;;;x
cout_title_ruler_consort_female_death_mountain_goron;Big Sister;;;;;;;;;;;;;x
baron_death_mountain_goron;Elder;;;;;;;;;;;;;x
baron_female_death_mountain_goron;Elder;;;;;;;;;;;;;x
emperor_ordonion;High King;;;;;;;;;;;;x
emperor_female_ordonion;High Queen;;;;;;;;;;;;;x
emperor_title_ruler_consort_ordonion;High King Consort;;;;;;;;;;;;;x
emperor_title_ruler_consort_female_ordonion;High Queen Consort;;;;;;;;;;;;;x
emperor_gerudo;Emperor;;;;;;;;;;;;x
emperor_female_gerudo;Empress;;;;;;;;;;;;;x
king_gerudo:King of Gerudos;;;;;;;;;;;;;;;x
duke_gerudo;Leader;;;;;;;;;;;;;x
duke_female_gerudo;Leader;;;;;;;;;;;;;x
count_gerudo;Commander;;;;;;;;;;;;;x
count_female_gerudo;Commander;;;;;;;;;;;;;x
baron_gerudo;Captain;;;;;;;;;;;;;x
baron_female_gerudo;Captain;;;;;;;;;;;;;x
emperor_horon;High King;;;;;;;;;;;;x
emperor_female_horon;High Queen;;;;;;;;;;;;;x
emperor_title_ruler_consort_horon;High King Consort;;;;;;;;;;;;;x
emperor_title_ruler_consort_female_horon;High Queen Consort;;;;;;;;;;;;;x
emperor_twili;Twilight Emperor;;;;;;;;;;;;x
emperor_female_twili;Twilight Queen;;;;;;;;;;;;;x
king_twili:Twilight King;;;;;;;;;;;;;;;x
king_female_twili;Twilight Princess;;;;;;;;;;;;;x
duke_twili;Twilight Duke;;;;;;;;;;;;;x
duke_female_twili;Twilight Duchess;;;;;;;;;;;;;x
count_twili;Twilight Count;;;;;;;;;;;;;x
count_female_twili;Twilight Countess;;;;;;;;;;;;;x
baron_twili;Twilight Lord;;;;;;;;;;;;;x
baron_female_twili;Twilight Lady;;;;;;;;;;;;;x
emperor_darknut;Dux;;;;;;;;;;;;x
emperor_female_darknut;Dux;;;;;;;;;;;;;x
emperor_title_ruler_consort_darknut;Lord;;;;;;;;;;;;x
emperor_title_ruler_consort_female_darknut;Lady;;;;;;;;;;;;;x
king_darknut:Legatus;;;;;;;;;;;;;;;x
king_female_darknut;Legatus;;;;;;;;;;;;;x
king_title_ruler_consort_darknut:Lord;;;;;;;;;;;;;;;x
king_female_title_ruler_consort_darknut;Lady;;;;;;;;;;;;;x
duke_darknut;Strategos;;;;;;;;;;;;;x
duke_female_darknut;Strategos;;;;;;;;;;;;;x
count_darknut;Praetor;;;;;;;;;;;;;x
count_female_darknut;Praetor;;;;;;;;;;;;;x
baron_darknut;Prefect;;;;;;;;;;;;;x
baron_female_darknut;Prefect;;;;;;;;;;;;;x
emperor_title_ruler_consort_zuna;Chief Husband;;;;;;;;;;;;x
emperor_title_ruler_consort_female_zuna;Chief Wife;;;;;;;;;;;;;x
emperor_zuna;Pharaoh;;;;;;;;;;;;x
emperor_female_zuna;Pharaoh;;;;;;;;;;;;;x
duke_zuna;Nomarch;;;;;;;;;;;;;x
duke_female_zuna;Nomarch;;;;;;;;;;;;;x
count_zuna;Haty-a;;;;;;;;;;;;;x
count_female_zuna;Haty-a;;;;;;;;;;;;;x
baron_zuna;Nobleman;;;;;;;;;;;;;x
baron_female_zuna;Noblewoman;;;;;;;;;;;;;x

