#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#title
emperor;King;;;;;;;;;;;;x
emperor_female;Queen;;;;;;;;;;;;x
emperor_consort;King Consort;;;;;;;;;;;;x
emperor_consort_female;Queen Consort;;;;;;;;;;;;x
emperor_title_queen_mother_female;Queen Mother;;;;;;;;;;;;x
king;Minor King;;;;;;;;;;;;x
king_title_queen_mother_female;Queen Mother;;;;;;;;;;;;x
king_female;Minor Queen;;;;;;;;;;;;x
##Hylian
emperor_hyrulean;Great King;;;;;;;;;;;;x
emperor_female_hyrulean;Great Princess;;;;;;;;;;;;;x
emperor_consort_hyrulean;Prince Consort;;;;;;;;;;;;x
emperor_female_consort_hyrulean;Queen Consort;;;;;;;;;;;;;x
king_hyrulean;King;;;;;;;;;;;;;;;x
king_female_hyrulean;Princess;;;;;;;;;;;;;x
king_consort_hyrulean;Prince Consort;;;;;;;;;;;;x
emperor_new_hyrulean;King;;;;;;;;;;;;x
emperor_female_new_hyrulean;Great Princess;;;;;;;;;;;;;x
king_new_hyrulean;Prince;;;;;;;;;;;;;;;x
king_female_new_hyrulean;Princess;;;;;;;;;;;;;x
emperor_cobble;King;;;;;;;;;;;;x
emperor_female_cobble;Queen;;;;;;;;;;;;;x
emperor_consort_cobble;King Consort;;;;;;;;;;;;x
emperor_female_consort_cobble;Queen Consort;;;;;;;;;;;;;x
king_cobble;Minor Princess;;;;;;;;;;;;;;;x
king_female_cobble;Minor Princess;;;;;;;;;;;;;x
king_consort_cobble;Prince Consort;;;;;;;;;;;;x
king_female_consort_cobble;Princess Consort;;;;;;;;;;;;;x
emperor_pebble;King;;;;;;;;;;;;x
emperor_female_pebble;Queen;;;;;;;;;;;;;x
emperor_consort_pebble;King Consort;;;;;;;;;;;;x
emperor_female_consort_pebble;Queen Consort;;;;;;;;;;;;;x
king_pebble;Prince;;;;;;;;;;;;;;;x
king_female_pebble;Princess;;;;;;;;;;;;;x
king_consort_pebble;Prince Consort;;;;;;;;;;;;x
king_female_consort_pebble;Princess Consort;;;;;;;;;;;;;x
##Human
emperor_ordonion;High King;;;;;;;;;;;;x
emperor_female_ordonion;High Queen;;;;;;;;;;;;;x
king_horon;High King;;;;;;;;;;;;x
king_female_horon;High Queen;;;;;;;;;;;;;x
king_title_ruler_consort_horon;High King Consort;;;;;;;;;;;;;x
king_title_ruler_consort_female_horon;High Queen Consort;;;;;;;;;;;;;x
emperor_gravel;King;;;;;;;;;;;;x
emperor_female_gravel;Queen;;;;;;;;;;;;;x
emperor_consort_gravel;King Consort;;;;;;;;;;;;x
emperor_female_consort_gravel;Queen Consort;;;;;;;;;;;;;x
king_gravel;Princess;;;;;;;;;;;;;;;x
king_female_gravel;Princess;;;;;;;;;;;;;x
king_consort_gravel;Prince Consort;;;;;;;;;;;;x
king_female_consort_gravel;Princess Consort;;;;;;;;;;;;;x
emperor_gem_lander;Samrat;Samrat;Samrat;;Samrat;;;;;;;;;x;;;;;;;;;;;;
emperor_female_gem_lander;Samrajni;Samrajni;Samrajni;;Samrajní;;;;;;;;;x;;;;;;;;;;;;
king_gem_lander;Maharaja;Maharaja;Maharadscha;;Maharaja;;;;;;;;;x;;;;;;;;;;;;
king_female_gem_lander;Maharani;Maharani;Maharani;;Maharaní;;;;;;;;;x;;;;;;;;;;;;
duke_gem_lander;Raja;Raja;Radscha;;Rajá;;;;;;;;;x;;;;;;;;;;;;
duke_female_gem_lander;Rani;Rani;Rani;;Raní;;;;;;;;;x;;;;;;;;;;;;
count_gem_lander;Thakur;Thakur;Thakur;;Thakur;;;;;;;;;x;;;;;;;;;;;;
count_female_gem_lander;Thakurani;Thakurani;Thakurani;;Thakuraní;;;;;;;;;x;;;;;;;;;;;;
baron_gem_lander;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x;;;;;;;;;;;;
baron_female_gem_lander;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x;;;;;;;;;;;;
##lost
emperor_sheikah;Shadow King;;;;;;;;;;;;x
emperor_female_sheikah;Shadow Queen;;;;;;;;;;;;;x
emperor_title_ruler_consort_sheikah;King Consort;;;;;;;;;;;;x
emperor_title_ruler_consort_female_sheikah;Queen Consort;;;;;;;;;;;;;x
king_sheikah:Great Chief;;;;;;;;;;;;;;;x
king_female_sheikah;Great Chief;;;;;;;;;;;;;x
king_title_ruler_consort_sheikah:Great Husband;;;;;;;;;;;;;;;x
king_female_title_ruler_consort_sheikah;Great Wife;;;;;;;;;;;;;x
duke_sheikah;Tribe Chief;;;;;;;;;;;;;x
duke_female_sheikah;Tribe Chief;;;;;;;;;;;;;x
count_sheikah;Chief;;;;;;;;;;;;;x
count_female_sheikah;Chief;;;;;;;;;;;;;x
baron_sheikah;Clan Father;;;;;;;;;;;;;x
baron_female_sheikah;Clan Mother;;;;;;;;;;;;;x
emperor_darknut;Dux;;;;;;;;;;;;x
emperor_female_darknut;Dux;;;;;;;;;;;;;x
emperor_title_ruler_consort_darknut;Lati;;;;;;;;;;;;x
