#In same order as event folder
#
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#conversion
conversion0_desc;With the new Hyrulean rulers the Sarians of [Root.GetName] have stoped speaking Saria and started speaking Hylian. With each passing generation the number of children with rounded ears decrease and those with hylian ears increases.;;;;;;;;;x
conversion0A;They are West Hyruleans now.;;;;;;;;;x
conversion1_desc;With the new Hyrulean rules the Kasutons of [Root.GetName] have stopped speaking Kasuto and started speaking Hylian. With each passing generation the number of children with rounded ears decrease and those with hylian ears increases.;;;;;;;;x
conversion1A;They are East Hyruleans now;;;;;;;;;x
conversion2_desc;As the Hyrulean population becomes more entranched they begin adopting an accent similar to their northern neighbors.;;;;;;;;;x
conversion2A;They are Little Hyruleans now.;;;;;;;;;x
conversion3_desc;There was a recent panic as instead of zora tadpoles, children are born with the look of humans with bird like beaks. Some of the populace claim it is a blessing from Valoo and others claim it is a curse by the water spirits.;;;;;;;;;x
conversion3A;We will call these new creatures after the Zora word for bird, Rito.;;;;;;;;;x
conversion3B;These creatures are surely Valoo's chosen people.;;;;;;;;;x
conversion4_desc;There was a recent panic as the tadpoles developed in the shallow rivers of [Root.GetName] developed in to large scaled creatures. These children have proven to be more violent than other Zora. So far the residents have started calling them Zola after an ancient evil water spirit.;;;;;;;;;x
conversion4A;These children will surely replace the old Zora.;;;;;;;;;x
conversion5_desc;There was a recent confusion as the zora tadpoles that developed in the salty waters and air started to develope into red skinned and brightly colored zora. Other than their coloring they seem to be the same as other zoras.;;;;;;;;;x
conversion5A;They are Sea Zoras now;;;;;;;;;x
conversion6_desc;The citizens of Port Town and the isles are not of HoHo ancestry anymore, but now of almost everyland that we trade with. As any walk through town we are not greeted with hundreds of languages but one made of hundreds.;;;;;;;;;x
conversion6A;Yes this will help with trade.;;;;;;;;;x
conversion7_desc;Around the islands more people use this Port language and it helps us converse with citizens from a hundred lands. We continue to use our influence to promote this means of communication for most who we do business.;;;;;;;;;x
conversion7A;We are wise;;;;;;;;;x
