#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
guild_government;Oligarchy;;;;;;;;;;;;;;;x
guild_government_desc;A form of government in which the head is not granted right to rule due to divine right, but merely because they own the most land and merchants.;;;;;;;;;;;x
feudalcratic_government;Theocratic Feudalism;;;;;;;;;;;;;x
feudalcratic_government_desc;A form of feudalism in which the head of state is either a god, high priest, or seen as the physical form of a god.;;;;;;;;;;;;;x
barbaric_governmnet;Autocracy;;;;;;;;;;;;;x
barbaric_governmnet_desc;A form of government with the head of state usually have complete power or almost complete power through their own strength or that of like minded allies.;;;;;;;;;;;;;x
imperialism_government;Junta;;;;;;;;;;;;;x
imperialism_government_desc;A form of government with the head of state being the commander of the most powerful army.;;;;;;;;;;;;;x
mage_government;Mageocracy;;;;;;;;;;;;;x
mage_government_desc;A form of government in which only mages or those with magical ancestors are permited to rule and own land.;;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_guild_union;Oligarchical Guild Union;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_guild_union;True Oligarchy;;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_guild_union;Elective Guild Union;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_guild_union;Guild Union;;;;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_guild_union;Elective Monopoly;;;;;;;;;;;;x
gob_hereditary_absolute_monarchy_guild_union;True Monopoly;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_feudalcratic;Elective Divine Oligarchical [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_feudalcratic;Hereditary Divine Oligarchical [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_feudalcratic;Elective Divine Imperial Oligarchical;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_feudalcratic;Hereditary Divine [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_feudalcratic;Elective Divine Absolute [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_feudalcratic;Absolute Divine [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_absolute_autocracy_feudalcratic;Elective Divine [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_feudalcratic;Hereditary Divine Aristocratic Imperial Autocracy;;;;;;;;;;;;;x
gov_electorial_despotic_autocracy_feudalcratic;Elective Divine Oligarchical [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_imperialism;Elective Junta;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_imperialism;Hereditary Junta;;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_imperialism;Elective Martial Imperial Oligarchy;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_imperialism;Hereditary Junta;;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_imperialism;Elective Dictatorship;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_imperialism;Absolute Dictatorship;;;;;;;;;;;;;x
gov_electorial_absolute_autocracy_imperialism;Elective Dictatorship;;;;;;;;;;;;;x
gov_hereditary_aristocratic_autocracy_imperiliam;Hereditary Divine Oligarchical Imperial Junta;;;;;;;;;;;;;x
gov_electorial_despotic_autocracy_imperialism;Elective Oligarchical Junta;;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_barbaric;Elective Autocratic Oligarchy;;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_barbaric;Elective Autocratic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_barbaric;Hereditary Autocratic [PrimaryTitle.GetTier];;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_barbaric;Elective Autocracy;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_barbaric;Hereditary Autocracy;;;;;;;;;;;;;x
gov_hereditary_absolute_autocracy_barbaric;Hereditary Absolute Autocracy;;;;;;;;;;;;;x
gov_electorial_absolute_autocracy_barbaric;Elective Absolute Autocracy;;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_barbaric;True Autocracy;;;;;;;;;;;;;x
gov_electorial_despotic_autocracy_barbaric;Elective Autocracy;;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_mage;Elective True Mageocracy;;;;;;;;;;;;;x
gov_hereditary_aristocratic_monarchy_mage;Hereditary Aristocratic Mageocracy;;;;;;;;;;;;;x
gov_electorial_despotic_monarchy_mage;Elective Despotic Mageocracy;;;;;;;;;;;;;x
gov_hereditary_despotic_monarchy_mage;Hereditary Despotic Mageocracy;;;;;;;;;;;;;x
gov_electorial_absolute_monarchy_mage;Elective Absolute Mageocracy;;;;;;;;;;;;;x
gov_hereditary_absolute_monarchy_mage;Hereditary Absolute Mageocracy;;;;;;;;;;;;;x
gov_hereditary_absolute_autocracy_mage;Hereditary Absolute Autocratic Mageocracy;;;;;;;;;;;;;x
gov_electorial_absolute_autocracy_mage;Elective Absolute Autocratic Mageocracy;;;;;;;;;;;;;x
gov_hereditary_despotic_autocracy_mage;Hereditary Despotic Autocratic Mageocracy;;;;;;;;;;;;;x
gov_electorial_despotic_autocracy_mage;Elective Despotic Autocratic Mageocracy;;;;;;;;;;;;;x











