#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x 
world_cobble_savanna;Mile Savanna;;;;;;;;;;;;;x 
world_cobble_desert;Cobble Desert;;;;;;;;;;;;;x 
world_isle_of_reeds;Isle of Reeds;;;;;;;;;;;;;x 
world_cobble_all;Cobble;;;;;;;;;;;;;x 
world_wind;Wind;;;;;;;;;;;;;x 
world_zuna;Zuna;;;;;;;;;;;;;x 
world_east_bannan_desert;Bannan Desert;;;;;;;;;;;;;x 
world_bannan_valley;Bannan Valley;;;;;;;;;;;;;x 
world_zazia;Zazia;;;;;;;;;;;;;x 
world_gravel;Gravel Desert;;;;;;;;;;;;;x 
world_gravel_all;Gravel;;;;;;;;;;;;;x 
world_fire_mountain;Fire Mountain;;;;;;;;;;;;;x 
world_pebble;Pebble;;;;;;;;;;;;;x 
world_anouki;Anouki Mountain;;;;;;;;;;;;;x 
world_mason;Mason Desert;;;;;;;;;;;;;x 
world_cobble_subcontinent;Cobble;;;;;;;;;;;;;x 
world_northwest;Northwest Hyrule;;;;;;;;;;;;;x 
world_hytopia;Hytopia;;;;;;;;;;;;;x 
world_sheikana;Sheikana;;;;;;;;;;;;;x 
world_comenia;Comenia;;;;;;;;;;;;;x 
world_ice_head;Ice Head Mountains;;;;;;;;;;;;;x 
world_comenia_all;Comenia;;;;;;;;;;;;;x 
world_jungle;Jungle of Happiness;;;;;;;;;;;;;x 
world_lynaria;Lynaria Jungle;;;;;;;;;;;;;x 
world_jungle_of_happiness;Jungle of Happiness;;;;;;;;;;;;;x 
world_wind_kingdoms;Wind Kingdoms;;;;;;;;;;;;;x 
world_south_west;South West Hyrule;;;;;;;;;;;;;x 
world_southern_coast;Southern Coast;;;;;;;;;;;;;x 
world_falsia;Falsia;;;;;;;;;;;;;x 
world_labrynna;Labrynna;;;;;;;;;;;;;x 
world_mystery;Desert of Mystery;;;;;;;;;;;;;x 
world_south_death_mountain;South Death mountain;;;;;;;;;;;;;x 
world_mudora_sub;Mudora;;;;;;;;;;;;;x 
world_great_swamp;Great Swamp;;;;;;;;;;;;;x 
world_lost_desert;Lost Desert;;;;;;;;;;;;;x 
world_north_hanman;North Hanman;;;;;;;;;;;;;x 
world_south_hanman;South Hanman;;;;;;;;;;;;;x 
world_hanman_peninsula;Hanman Peninsula;;;;;;;;;;;;;x 
world_south_east;South East Hyrule;;;;;;;;;;;;;x 
world_calatia;Calatia;;;;;;;;;;;;;x 
world_arcadia;Arcadia;;;;;;;;;;;;;x 
world_caladia_valley;Caladia Valley;;;;;;;;;;;;;x 
world_tolemac;Tolemacv;;;;;;;;;;;;;x 
world_north_east;North East Hyrule;;;;;;;;;;;;;x 
world_ordon_valley;Ordon Valley;;;;;;;;;;;;;x 
world_ordia;Ordia;;;;;;;;;;;;;x 
world_badlands;Badlands;;;;;;;;;;;;;x 
world_kokiri;Kokiri Woods;;;;;;;;;;;;;x 
world_deku;Deku Woods;;;;;;;;;;;;;x 
world_fairy;Fairy Woods;;;;;;;;;;;;;x 
world_hyrule_subcontinent;Hyrule;;;;;;;;;;;;;x 
world_hyrule_continent;Continent of Hyrule;;;;;;;;;;;;;x 
world_hanman;Hanman Peninsula;;;;;;;;;;;;;x 
world_hyrule;Hyrule;;;;;;;;;;;;;x 
world_sea_trees;Sea of Trees;;;;;;;;;;;;;x 
world_sea_sand;Sea of Sand;;;;;;;;;;;;;x 
world_central_hyrule;Central Hyrule;;;;;;;;;;;;;x 
world_ordon;Ordon;;;;;;;;;;;;;x 
world_provinces;Northern Provinces;;;;;;;;;;;;;x 
world_sacred_lands;Sacred Lands;;;;;;;;;;;;;x 
world_great_death_mountain;Great Death Mountains;;;;;;;;;;;;;x 
world_death_mountain;Death Mountain;;;;;;;;;;;;;x 
world_snow_peak;Snowpeak Mountains;;;;;;;;;;;;;x 
world_wizzrobe_steppes;Wizzrobe Steppes;;;;;;;;;;;;;x 
world_northwest_hyrule;Northwest Hyrule;;;;;;;;;;;;;x 
world_greater_hyrule;Greater Hyrule;;;;;;;;;;;;;x 
world_kasuto_island;Kasuto Island;;;;;;;;;;;;;x 
world_northeast_hyrule;North East Hyrule;;;;;;;;;;;;;x 
world_ho;Ho;;;;;;;;;;;;;x 
world_yetilands;Yeti Mountains;;;;;;;;;;;;;x 
world_howgendoogen_islands;Howgendoogen's Islands;;;;;;;;;;;;;x 
world_north;North Hyrule;;;;;;;;;;;;;x 
world_hylia_valley;Hylian Valley;;;;;;;;;;;;;x 
world_mudora;Mudora;;;;;;;;;;;;;x 
world_toledia;Toledia;;;;;;;;;;;;;x 
world_deku_islands;Deku Islands;;;;;;;;;;;;;x 
world_east_hyrule;East Hyrule;;;;;;;;;;;;;x 
world_southeast;Southeast Mainland;;;;;;;;;;;;;x 
world_moria;Morian Mountains;;;;;;;;;;;;;x 
world_grindle;Grindle Plains;;;;;;;;;;;;;x 
world_storm_isles;Storm Islands;;;;;;;;;;;;;x 
world_southeast_hyrule;Southeast Hyrule;;;;;;;;;;;;;x 
world_holodrum;Holodrum;;;;;;;;;;;;;x 
world_samasa;Samasa Desert;;;;;;;;;;;;;x 
world_south_hyrule;South Hyrule;;;;;;;;;;;;;x 
world_tarm_jungle;Tarm Jungle;;;;;;;;;;;;;x 
world_jungle_happiness;Jungle of Happiness;;;;;;;;;;;;;x 
world_girrin_savanna;Girrin Savannas;;;;;;;;;;;;;x 
world_keatonia;Keatonia;;;;;;;;;;;;;x 
world_darknut_desert;Darknut Desert;;;;;;;;;;;;;x 
custom_zola;Zola Domain;;;;;;;;;;;;;x 
custom_sea_zora;Sea Zora Domain;;;;;;;;;;;;;x 
custom_rito;Rito Domain;;;;;;;;;;;;;x 
world_koridai;Islands of Koridai;;;;;;;;;;;;;x 
world_koholint;Koholint Island;;;;;;;;;;;;;x 
world_western_isles;Western Isles;;;;;;;;;;;;;x 
ARCH-INQUISITOR;Arch-Inquisitor;;;;;;;;;;;;;x 
