#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#combat
warrior_1;Appprentice Warrior;;;;;;;;;;;;;x
warrior_1_desc;This character knows the basics of personal combat and can face most minor monsters.;;;;;;;;;x
warrior_2;Trained Warrior;;;;;;;;;x
warrior_2_desc;This character knows a few advanced techniques and can face most moderate monsters.;;;;;;;;;x
warrior_3;Skilled Warrior;;;;;;;;;x
warrior_3_desc;This character knows most advanced techniques and can face most dangerous monsters.;;;;;;;;;x
warrior_4;Master Warrior;;;;;;;;;x
warrior_4_desc;This character knowns all techniques including some of their own and face all but the most deadly of monsters alone.;;;;;;;;;x
mage_1;Appprentice Mage;;;;;;;;;x
mage_1_desc;This character knows a few enhancing spell but little to no offense or defense spells.;;;;;;;;;x
mage_2;Trained Warrior;;;;;;;;;x
mage_2_desc;This character knows a few offense or defense spells but still does not know advance techniques;;;;;;;;;x
mage_3;Skilled Mage;;;;;;;;;x
mage_3_desc;This Character knows most offense and defense spells and several advanced techniques such as teleportation;;;;;;;;;x
mage_4;Master Mage;;;;;;;;;x
mage_4_desc;This character knows all offense and defense spells and spends most of their down time inventing new spells;;;;;;;;;x
#misc
tall;Tall;;;;;;;;;x
tall_desc;This character is taller than most of their race, while he stands above most he is still not 'giant'.;;;;;;;;;x
short;Short;;;;;;;;;x
short_desc;This character is shorter than most of their race, but does not suffer from dwarfism.;;;;;;;;;x
mute;Mute;;;;;;;;;x
mute_desc;This character is unable to speak.;;;;;;;;;x
knight_hyrule;Knight of Hyrule;;;;;;;;;x
knight_hyrule_desc;This character has served in the Knights of Hyrule.;;;;;;;;;x
knight_cobble;Knight of Cobble;;;;;;;;;x
knight_cobble_desc;This character has served in the Knights of Cobble.;;;;;;;;;x
knight_saria;Riverman;;;;;;;;;x
knight_saria;This character has served in the Rivermen of Saria.;;;;;;;;;x
knight_great_hyrule;Knight of Greater Hyrule;;;;;;;;;x
knight_great_hyrule;This character has served in the Knights of Greater Hyrule.;;;;;;;;;x
knight_moria;Questing Knight;;;;;;;;;x
knight_moria_desc;This character has served in the Questing Knights of Moria;;;;;;;;;x
prophetic;Prophetic Dreams;;;;;;;;;x
prophetic_desc;This character often have prophetic dreams, while they are still hard to understand;;;;;;;;;x
bloodline_goddess;Goddess Bloodline;;;;;;;;;x
bloodline_goddess_desc;This character is descended from the Goddess Hylia, who gave up her godhood to save humanity.;;;;;;;;;x
bloodline_hero;Hero Bloodline;;;;;;;;;x
bloodline_hero_desc;This character is descended from Hylia's chosen hero.;;;;;;;;;x
bloodline_lonlon;Lon Lon Bloodline;;;;;;;;;x
bloodline_lonlon_desc;This character is related to the Lon Lon family, who were raised to nobility by the King of Hyrule do to his love of their milk.;;;;;;;;;x
bloodline_debon;De Bon Bloodline;;;;;;;;;x
bloodline_debon_desc;This character is descended from the first De Bon, the founder of Zora's Domain.;;;;;;;;;x
bloodline_sage;Sage Bloodline;;;;;;;;;x
bloodline_sage_desc;This character is descended from one of the sages.;;;;;;;;;x
bloodline_firstborn;Firstborn Bloodline;;;;;;;;;x
bloodline_firstborn_desc;This character is descended from one of the very first of Demises creations.;;;;;;;;;x
bloodline_firstdox;Caesar Bloodline;;;;;;;;;x
bloodline_firstdox_desc;This character is descended from the Caesar the first Dox of the Darknuts.;;;;;;;;;x
bloodline_betrayers;Betrayers Bloodline;;;;;;;;;x
bloodline_betrayers_desc;This character is descended from the the 6 murders of the Caesar and many believe the reason for the fall of Legio Prima.;;;;;;;;;x
bloodline_ganondorf;Ganondorf Bloodline;;;;;;;;;x
bloodline_ganondorf_desc;This character is descended from Ganondorf the 'King of Thieves' who sought to reestablish the Gerudo kingdom.;;;;;;;;;x
bloodline_dragonslayer;Dragonslayer Bloodline;;;;;;;;;x
bloodline_dragonslayer_desc;This character is descended from a dragon slayer who slew Volvagia.;;;;;;;;;x
bloodline_ambi;Ambi Bloodline;;;;;;;;;x
bloodline_ambi_desc;This character from Queen Ambi the founder of the kingdom of Labrynna.;;;;;;;;;x
on_adventure;Adventuring;;;;;;;;;x
on_adventure_desc;This character is currently away from court on an adventure.;;;;;;;;;x
on_thieving;Crime Spree;;;;;;;;;x
on_thieving_desc;This character is currently away from court stealing from people.;;;;;;;;;x
in_seclusion;In Seclusion;;;;;;;;;x
