#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bullbo;Bullbo;;;;;;;;;;;;;x
bullbo_offensive;Bullbo Offensive;;;;;;;;;;;;;x
bullbo_defensive;Bullbo Defensive;;;;;;;;;;;;;x
bullbo_morale;Bullbo Morale;;;;;;;;;;;;;x
bullbo_modifier;Combat Modifier boost to Bullbo: $PERC$;;;;;;;;;;;;;x
lord_bullbo;Lord Bullbo;;;;;;;;;;;;;x
lord_bullbo_offensive;Lord Bullbo Offensive;;;;;;;;;;;;;x
lord_bullbo_defensive;Lord Bullbo Defensive;;;;;;;;;;;;;x
lord_bullbo_morale;Lord Bullbo Morale;;;;;;;;;;;;;x
lord_bullbo_modifier;Combat Modifier boost to Lord Bullbo: $PERC$;;;;;;;;;;;;;x
animated_soldier;Animated Soldier;;;;;;;;;;;;;x
animated_soldier_offensive;Animated Soldier Offensive;;;;;;;;;;;;;x
animated_soldier_defensive;Animated Soldier Defensive;;;;;;;;;;;;;x
animated_soldier_morale;Animated Soldier Morale;;;;;;;;;;;;;x
animated_soldier_modifier;Combat Modifier boost to Animated Soldiers: $PERC$;;;;;;;;;;;;;x
mage;Mages;;;;;;;;;;;;;x
mage_offensive;Mages Offensive;;;;;;;;;;;;;x
mage_defensive;Mages Defensive;;;;;;;;;;;;;x
mage_morale;Mages Morale;;;;;;;;;;;;;x
mage_modifier;Combat Modifier boost to Mages: $PERC$;;;;;;;;;;;;;x
mage_sword;Magic Swordsmen;;;;;;;;;;;;;x
mage_sword_offensive;Magic Swordsmen Offensive;;;;;;;;;;;;;x
mage_sword_defensive;Magic Swordsmen Defensive;;;;;;;;;;;;;x
mage_sword_morale;Magic Swordsmen Morale;;;;;;;;;;;;;x
mage_sword_modifier;Combat Modifier boost to Magic Swordsmen: $PERC$;;;;;;;;;;;;;x
flying_cavalry;Flying Cavalry;;;;;;;;;;;;;x
flying_cavalry_offensive;Flying Cavalry Offensive;;;;;;;;;;;;;x
flying_cavalry_defensive;Flying Cavalry Defensive;;;;;;;;;;;;;x
flying_cavalry_morale;Flying Cavalry Morale;;;;;;;;;;;;;x
flying_cavalry_modifier;Combat Modifier boost to Flying Cavalry: $PERC$;;;;;;;;;;;;;x
iron_knuckle;Iron Knuckles;;;;;;;;;;;;;x
iron_knuckle_offensive;Iron Knuckles Offensive;;;;;;;;;;;;;x
iron_knuckle_defensive;Iron Knuckles Defensive;;;;;;;;;;;;;x
iron_knuckle_morale;Iron Knuckles Morale;;;;;;;;;;;;;x
iron_knuckle_modifier;Combat Modifier boost to Iron Knuckles: $PERC$;;;;;;;;;;;;;x
giant_infantry;Giant Infantry;;;;;;;;;;;;;x
giant_infantry_offensive;Giant Infantry Offensive;;;;;;;;;;;;;x
giant_infantry_defensive;Giant Infantry Defensive;;;;;;;;;;;;;x
giant_infantry_morale;Giant Infantry Morale;;;;;;;;;;;;;x
giant_infantry_modifier;Combat Modifier boost to Giant Infantry: $PERC$;;;;;;;;;;;;;x
