#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_wind;Wind;;;;;;;;;x
e_wind;Wind Tribe;;;;;;;;;x
e_hyrule_central;Hyrule;Hyrule;;Hyrule;;;;;;;;;x
e_hyrule_central_adj;Hyrulean;Hyrulean;;Hyrulean;;;;;;;;;x
e_saria;Saria;Saria;;Saria;;;;;;;;;x
e_saria_adj;Sarian;Sarian;;Sarian;;;;;;;;;x
e_hanman;Hanman;Hanman;Hanman;;Hanman;;;;;;;;;x
e_hanman_adj;Hanmanian;;hanmaner;;;;;;;;;;;x
e_moria;Moria;Moria;Moria;;Moria;;;;;;;;;x
e_moria_adj;Morian;;morer;;;;;;;;;;;x
e_holodrum;Holodrum;Holodrum;Holodrum;;Holodrum;;;;;;;;;x
e_holodrum_adj;Holodrumian;;holodrumer;;;;;;;;;;;x
e_labrynna;Labrynna;Labrynna;Labrynna;;Labrynna;;;;;;;;;x
e_labrynna_adj;Labrynnan;;labrynner;;;;;;;;;;;x
e_sea_tree;Sea of Trees;Sea of Trees;Sea of Trees;;Sea of Trees;;;;;;;;;x
e_sea_tree_adj;Woodsman;;Woodsman;;;;;;;;;;;x
e_mudora;Mudora;Mudora;Mudora;;Mudora;;;;;;;;;x
e_mudora_adj;Mudoran;;mudorer;;;;;;;;;;;x
e_zora_domain;Zora Domain;Zora Domain;Zora Domain;;Zora Domain;;;;;;;;;x
e_zora_domain_adj;Zora Domainian;;Zora Domainer;;;;;;;;;;;x
e_holodrum;Holodrum;Holodrum;Holodrum;;Holodrum;;;;;;;;;x
e_holodrum_adj;Holodrumian;;holodrumer;;;;;;;;;;;x
e_sea_of_tree;Sea of Tree;Sea of Tree;Sea of Tree;;Sea of Tree;;;;;;;;;x
e_sea_of_tree_adj;Sea of Treean;;Sea of Trer;;;;;;;;;;;x
e_calatia;Calatia;Calatia;Calatia;;Calatia;;;;;;;;;x
e_calatia_adj;Calatian;;calater;;;;;;;;;;;x
e_ho_ho;Ho Ho;Ho Ho;Ho Ho;;Ho Ho;;;;;;;;;x
e_ho_ho_adj;Ho Hian;;Ho Her;;;;;;;;;;;x
