PROV1;;;;;;;;;;;;x
PROV15;;;;;;;;;;;;x
PROV16;;;;;;;;;;;;x
PROV17;;;;;;;;;;;;x
PROV18;;;;;;;;;;;;x
PROV19;;;;;;;;;;;;x
PROV20;;;;;;;;;;;;x
PROV21;;;;;;;;;;;;x
PROV22;;;;;;;;;;;;x
PROV23;;;;;;;;;;;;x
PROV24;;;;;;;;;;;;x
PROV25;;;;;;;;;;;;x
PROV26;;;;;;;;;;;;x
PROV27;;;;;;;;;;;;x
PROV28;;;;;;;;;;;;x
PROV29;;;;;;;;;;;;x
PROV30;;;;;;;;;;;;x
PROV31;;;;;;;;;;;;x
PROV32;;;;;;;;;;;;x
PROV33;;;;;;;;;;;;x
PROV34;;;;;;;;;;;;x
PROV35;;;;;;;;;;;;x
PROV36;;;;;;;;;;;;x
PROV37;;;;;;;;;;;;x
PROV38;;;;;;;;;;;;x
PROV39;;;;;;;;;;;;x
PROV40;;;;;;;;;;;;x
PROV41;;;;;;;;;;;;x
PROV42;;;;;;;;;;;;x
PROV43;;;;;;;;;;;;x
PROV44;;;;;;;;;;;;x
PROV45;;;;;;;;;;;;x
PROV46;;;;;;;;;;;;x
PROV47;;;;;;;;;;;;x
PROV48;;;;;;;;;;;;x
PROV49;;;;;;;;;;;;x
PROV50;;;;;;;;;;;;x
PROV51;;;;;;;;;;;;x
PROV52;;;;;;;;;;;;x
PROV53;;;;;;;;;;;;x
PROV54;;;;;;;;;;;;x
PROV55;;;;;;;;;;;;x
PROV56;;;;;;;;;;;;x
PROV57;;;;;;;;;;;;x
PROV58;;;;;;;;;;;;x
PROV59;;;;;;;;;;;;x
PROV60;;;;;;;;;;;;x
PROV61;;;;;;;;;;;;x
PROV62;;;;;;;;;;;;x
PROV63;;;;;;;;;;;;x
PROV64;;;;;;;;;;;;x
PROV65;;;;;;;;;;;;x
PROV66;;;;;;;;;;;;x
PROV67;;;;;;;;;;;;x
PROV68;;;;;;;;;;;;x
PROV69;;;;;;;;;;;;x
PROV70;;;;;;;;;;;;x
PROV71;;;;;;;;;;;;x
PROV72;;;;;;;;;;;;x
PROV73;;;;;;;;;;;;x
PROV74;;;;;;;;;;;;x
PROV75;;;;;;;;;;;;x
PROV76;;;;;;;;;;;;x
PROV77;;;;;;;;;;;;x
PROV78;;;;;;;;;;;;x
PROV79;;;;;;;;;;;;x
PROV80;;;;;;;;;;;;x
PROV81;;;;;;;;;;;;x
PROV82;;;;;;;;;;;;x
PROV83;;;;;;;;;;;;x
PROV84;;;;;;;;;;;;x
PROV85;;;;;;;;;;;;x
PROV86;;;;;;;;;;;;x
PROV87;;;;;;;;;;;;x
PROV88;;;;;;;;;;;;x
PROV89;;;;;;;;;;;;x
PROV90;;;;;;;;;;;;x
PROV91;;;;;;;;;;;;x
PROV92;;;;;;;;;;;;x
PROV93;;;;;;;;;;;;x
PROV94;;;;;;;;;;;;x
PROV95;;;;;;;;;;;;x
PROV96;;;;;;;;;;;;x
PROV97;;;;;;;;;;;;x
PROV98;;;;;;;;;;;;x
PROV99;;;;;;;;;;;;x
PROV372;;;;;;;;;;;;x
PROV375;;;;;;;;;;;;x
PROV540;Greath Death Mountain;Greath Death Mountain;Greath Death Mountain;;;;;;;;;x
PROV541;Goron Mines;Goron Mines;Goron Mines;;;;;;;;;x
PROV542;Goron Road;Goron Road;Goron Road;;;;;;;;;x
PROV543;Hot Springs Mountain;Hot Springs Mountain;Hot Springs Mountain;;;;;;;;;x
PROV544;Goron Canyons;Goron Canyons;Goron Canyons;;;;;;;;;x
PROV545;Bombchu Mountain;Bombchu Mountain;Bombchu Mountain;;;;;;;;;x
PROV573;Frozen Lake;Frozen Lake;Frozen Lake;;;;;;;;;x
PROV574;Snowpeak Ascent;Snowpeak Ascent;Snowpeak Ascent;;;;;;;;;x
PROV575;Snowpeak Top;Snowpeak Top;Snowpeak Top;;;;;;;;;x
PROV576;Snowpeak Watchtower;Snowpeak Watchtower;Snowpeak Watchtower;;;;;;;;;x
PROV577;Snowpeak Slopes;Snowpeak Slopes;Snowpeak Slopes;;;;;;;;;x
PROV578;Ice Cliffs;Ice Cliffs;Ice Cliffs;;;;;;;;;x
PROV579;Snowpeak Manor;Snowpeak Manor;Snowpeak Manor;;;;;;;;;x
PROV580;Mountain Village;Mountain Village;Mountain Village;;;;;;;;;x
PROV581;Yeti Peaks;Yeti Peaks;Yeti Peaks;;;;;;;;;x
PROV582;Yeti Mountain;Yeti Mountain;Yeti Mountain;;;;;;;;;x
PROV761;Eldin Caves;Eldin Caves;Eldin Caves;;;;;;;;;x
